"대분류명","중분류명","소분류명","식재료코드","식재료명","브랜드명","생산연도","규격"
"축산물","한우","한우(설도)","1122796","한우(설도)","","2024년","한우/냉장/무항생제/설도/장조림/2*2*2(cm)/1kg"
"축산물","한우","한우(설도)","1122797","한우(설도)","","2024년","한우/냉장/무항생제/설도/장조림/2*2*2(cm)/0.5kg"
"축산물","한우","한우(설도)","1122798","한우(설도)","","2024년","한우/냉장/무항생제/설도/장조림/2*2*2(cm)/0.3kg"
"축산물","한우","한우(설도)","1122799","한우(설도)","","2024년","한우/냉장/무항생제/설도/채썰기/0.4*0.4*5(cm)/1kg"
"축산물","한우","한우(설도)","1122800","한우(설도)","","2024년","한우/냉장/무항생제/설도/채썰기/0.4*0.4*5(cm)/0.5kg"
"축산물","한우","한우(설도)","1122801","한우(설도)","","2024년","한우/냉장/무항생제/설도/채썰기/0.4*0.4*5(cm)/0.3kg"
"축산물","한우","한우(안심)","1122802","한우(안심)","","2024년","한우/냉장/무항생제/안심/구이,스테이크용/0.7cm 구이용 슬라이스/1kg"
"축산물","한우","한우(안심)","1122803","한우(안심)","","2024년","한우/냉장/무항생제/안심/구이,스테이크용/0.7cm 구이용 슬라이스/0.5kg"
"축산물","한우","한우(안심)","1122804","한우(안심)","","2024년","한우/냉장/무항생제/안심/구이,스테이크용/0.7cm 구이용 슬라이스/0.3kg"
"축산물","한우","한우(양지)","1122805","한우(양지)","","2024년","한우/냉장/무항생제/양지/국거리/0.3*2*3(cm)/1kg"
"축산물","한우","한우(양지)","1122806","한우(양지)","","2024년","한우/냉장/무항생제/양지/국거리/0.3*2*3(cm)/0.5kg"
"축산물","한우","한우(양지)","1122807","한우(양지)","","2024년","한우/냉장/무항생제/양지/국거리/0.3*2*3(cm)/0.3kg"
"축산물","한우","한우(우둔)","1122808","한우(우둔)","","2024년","한우/냉장/무항생제/우둔/잡채용/0.3*0.3*5 (cm)/1kg"
"축산물","한우","한우(우둔)","1122809","한우(우둔)","","2024년","한우/냉장/무항생제/우둔/잡채용/0.3*0.3*5 (cm)/0.5kg"
"축산물","한우","한우(우둔)","1122810","한우(우둔)","","2024년","한우/냉장/무항생제/우둔/잡채용/0.3*0.3*5 (cm)/0.3kg"
"축산물","한우","한우(우둔)","1122811","한우(우둔)","","2024년","한우/냉장/무항생제/우둔/불고기/0.2*3*4 (cm)/1kg"
"축산물","한우","한우(우둔)","1122812","한우(우둔)","","2024년","한우/냉장/무항생제/우둔/불고기/0.2*3*4 (cm)/0.5kg"
"축산물","한우","한우(우둔)","1122813","한우(우둔)","","2024년","한우/냉장/무항생제/우둔/불고기/0.2*3*4 (cm)/0.3kg"
"축산물","한우","한우(우둔)","1122814","한우(우둔)","","2023년","한우(냉장) 무항생제 / 우둔 / 찜용 1.5깍뚝/1kg"
"축산물","한우","한우(우둔)","1122815","한우(우둔)","","2023년","한우(냉장) 무항생제 / 우둔 / 찜용 1.5깍뚝/0.5kg"
"축산물","한우","한우(우둔)","1122816","한우(우둔)","","2023년","한우(냉장) 무항생제 / 우둔 / 찜용 1.5깍뚝/0.3kg"
"축산물","한우","한우(우둔)","1122817","한우(우둔)","","2024년","한우/냉장/무항생제/우둔/다짐육/0.5cm 다짐육/1kg"
"축산물","한우","한우(우둔)","1122818","한우(우둔)","","2024년","한우/냉장/무항생제/우둔/다짐육/0.5cm 다짐육/0.5kg"
"축산물","한우","한우(우둔)","1122819","한우(우둔)","","2024년","한우/냉장/무항생제/우둔/다짐육/0.5cm 다짐육/0.3kg"
"축산물","한우","한우(우둔)","1122820","한우(우둔)","","2024년","한우/냉장/무항생제/우둔/짜장,카레용/1*1*1(cm)/1kg"
"축산물","한우","한우(우둔)","1122821","한우(우둔)","","2024년","한우/냉장/무항생제/우둔/짜장,카레용/1*1*1(cm)/0.5kg"
"축산물","한우","한우(우둔)","1122822","한우(우둔)","","2024년","한우/냉장/무항생제/우둔/짜장,카레용/1*1*1(cm)/0.3kg"
"축산물","한우","한우(전각)","1122823","한우(전각)","","2024년","한우/냉장/무항생제/앞다리(전각)/불고기/0.3*3*4(cm)/1kg"
"축산물","한우","한우(전각)","1122824","한우(전각)","","2024년","한우/냉장/무항생제/앞다리(전각)/불고기/0.3*3*4(cm)/0.5kg"
"축산물","한우","한우(전각)","1122825","한우(전각)","","2024년","한우/냉장/무항생제/앞다리(전각)/불고기/0.3*3*4(cm)/0.3kg"
"축산물","한우","한우(전각)","1122826","한우(전각)","","2024년","한우/냉장/무항생제/앞다리(전각)/국거리,세절/0.3*2*3 (cm)/1kg"
"축산물","한우","한우(전각)","1122827","한우(전각)","","2024년","한우/냉장/무항생제/앞다리(전각)/국거리,세절/0.3*2*3 (cm)/0.5kg"
"축산물","한우","한우(전각)","1122828","한우(전각)","","2024년","한우/냉장/무항생제/앞다리(전각)/국거리,세절/0.3*2*3 (cm)/0.3kg"
"축산물","한우","한우(채끝)","1122829","한우(채끝)","","2024년","한우/냉장/무항생제/채끝/구이,스테이크용/0.7cm 구이용 슬라이스/1kg"
"축산물","한우","한우(채끝)","1122830","한우(채끝)","","2024년","한우/냉장/무항생제/채끝/구이,스테이크용/0.7cm 구이용 슬라이스/0.5kg"
"축산물","한우","한우(채끝)","1122831","한우(채끝)","","2024년","한우/냉장/무항생제/채끝/구이,스테이크용/0.7cm 구이용 슬라이스/0.3kg"
"축산물","돈육","돈육(목심)","1122883","돈육(목심)","","2024","돈육/냉장/목살/구이용/0.7*4*5(cm)/0.3kg"
"축산물","돈육","돈육(목심)","1122884","돈육(목심)","","2024","돈육/냉장/목살/수육용/200~300g 덩어리/1kg"
"축산물","돈육","돈육(목심)","1122885","돈육(목심)","","2024","돈육/냉장/목살/수육용/200~300g 덩어리/0.5kg"
"축산물","돈육","돈육(목심)","1122886","돈육(목심)","","2024","돈육/냉장/목살/수육용/200~300g 덩어리/0.3kg"
"축산물","돈육","돈육(목심)","1122887","돈육(목심)","","2024","돈육/냉장/목살/스테이크용/0.7cm슬라이스/1kg"
"축산물","돈육","돈육(목심)","1122888","돈육(목심)","","2024","돈육/냉장/목살/스테이크용/0.7cm슬라이스/0.5kg"
"축산물","돈육","돈육(목심)","1122889","돈육(목심)","","2024","돈육/냉장/목살/스테이크용/0.7cm슬라이스/0.3kg"
"축산물","돈육","돈육(목심)","1122890","돈육(목심)","","2024","돈육/냉장/목살/불고기용/0.3*3*4(cm)/1kg"
"축산물","돈육","돈육(목심)","1122891","돈육(목심)","","2024","돈육/냉장/목살/불고기용/0.3*3*4(cm)/0.5kg"
"축산물","돈육","돈육(목심)","1122892","돈육(목심)","","2024","돈육/냉장/목살/불고기용/0.3*3*4(cm)/0.3kg"
"축산물","돈육","돈육(사태)","1122893","돈육(사태)","","2024","돈육/냉장/사태/수육,찜용/200g~300g 덩어리/0.3kg"
"축산물","돈육","돈육(사태)","1122894","돈육(사태)","","2024","돈육/냉장/사태/장조림용/2*2*2(cm)/1kg"
"축산물","돈육","돈육(사태)","1122895","돈육(사태)","","2024","돈육/냉장/사태/장조림용/2*2*2(cm)/0.5kg"
"축산물","돈육","돈육(사태)","1122896","돈육(사태)","","2024","돈육/냉장/사태/장조림용/2*2*2(cm)/0.3kg"
"축산물","돈육","돈육(삼겹)","1122897","돈육(삽겹)","","2023","돈육/냉장/1등급/삼겹/구이용,한입크기/0.3kg"
"축산물","돈육","돈육(삼겹)","1122898","돈육(삽겹)","","2023","돈육/냉장/1등급/삼겹/수육용/1kg"
"축산물","돈육","돈육(삼겹)","1122899","돈육(삽겹)","","2023","돈육/냉장/1등급/삼겹/수육용/0.5kg"
"축산물","돈육","돈육(삼겹)","1122900","돈육(삽겹)","","2023","돈육/냉장/1등급/삼겹/수육용/0.3kg"
"축산물","돈육","돈육(삼겹)","1122901","돈육(삽겹)","","2023","돈육/냉장/1등급/삼겹/불고기용/1kg"
"축산물","돈육","돈육(삼겹)","1122902","돈육(삽겹)","","2023","돈육/냉장/1등급/삼겹/불고기용/0.5kg"
"축산물","돈육","돈육(삼겹)","1122903","돈육(삽겹)","","2023","돈육/냉장/1등급/삼겹/불고기용/0.3kg"
"축산물","돈육","돈육(안심)","1122904","돈육(안심)","","2024","돈육/냉장/안심/짜장,카레용/1*1*1(cm)/0.3kg"
"축산물","돈육","돈육(안심)","1122905","돈육(안심)","","2024","돈육/냉장/안심/장조림용/2*2*2(cm)/1kg"
"축산물","돈육","돈육(안심)","1122906","돈육(안심)","","2024","돈육/냉장/안심/장조림용/2*2*2(cm)/0.5kg"
"축산물","돈육","돈육(안심)","1122907","돈육(안심)","","2024","돈육/냉장/안심/장조림용/2*2*2(cm)/0.3kg"
"축산물","돈육","돈육(안심)","1122908","돈육(안심)","","2024","돈육/냉장/안심/잡채용/0.3*0.3*5(cm)/1kg"
"축산물","돈육","돈육(안심)","1122909","돈육(안심)","","2024","돈육/냉장/안심/잡채용/0.3*0.3*5(cm)/0.5kg"
"축산물","돈육","돈육(안심)","1122910","돈육(안심)","","2024","돈육/냉장/안심/잡채용/0.3*0.3*5(cm)/0.3kg"
"축산물","돈육","돈육(안심)","1122911","돈육(안심)","","2024","돈육/냉장/안심/다짐육/1kg"
"축산물","돈육","돈육(안심)","1122912","돈육(안심)","","2024","돈육/냉장/안심/다짐육/0.5kg"
"축산물","돈육","돈육(안심)","1122913","돈육(안심)","","2024","돈육/냉장/안심/다짐육/0.3kg"
"축산물","돈육","돈육(전지)","1122914","돈육(전지)","","2024","돈육/냉장/앞다리/찌개용/0.3*2*3(cm)/0.3kg"
