index,ingredient_a,ingredient_b,substitution_direction,similarity_score,substitution_reason,feature_similarity,category_similarity,category_match_level,calculation_details
41,열기,연변어,열기→연변어,0.97,향 유사,0.92,1.0,세세분류,"Feature유사도: 0.92 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.97 | 공통특성: 가열용, 감칠맛, 단백함, 비린맛, 생선류, 수산물, 해산물향 | 분류일치: 세세분류: 생선류"
42,연변어,열기,연변어→열기,0.97,향 유사,0.92,1.0,세세분류,"Feature유사도: 0.92 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.97 | 공통특성: 가열용, 감칠맛, 단백함, 비린맛, 생선류, 수산물, 해산물향 | 분류일치: 세세분류: 생선류"
43,병어,갈치,병어→갈치,0.97,향 유사,0.93,1.0,세세분류,"Feature유사도: 0.93 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.97 | 공통특성: 감칠맛, 단백함, 부드러움, 비린맛, 수산물, 해산물향, 흰살생선 | 분류일치: 세세분류: 생선류"
44,갈치,병어,갈치→병어,0.97,향 유사,0.93,1.0,세세분류,"Feature유사도: 0.93 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.97 | 공통특성: 감칠맛, 단백함, 부드러움, 비린맛, 수산물, 해산물향, 흰살생선 | 분류일치: 세세분류: 생선류"
45,도다리,술봉가자미,도다리→술봉가자미,0.96,"향 유사, 식감 유사",0.9,1.0,세세분류,"Feature유사도: 0.90 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.96 | 공통특성: 가열용, 감칠맛, 담백함, 생선류, 수산물, 흰살생선 | 분류일치: 세세분류: 생선류"
46,술봉가자미,도다리,술봉가자미→도다리,0.96,"향 유사, 식감 유사",0.9,1.0,세세분류,"Feature유사도: 0.90 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.96 | 공통특성: 가열용, 감칠맛, 담백함, 생선류, 수산물, 흰살생선 | 분류일치: 세세분류: 생선류"
47,도다리,네동가리,도다리→네동가리,0.96,"향 유사, 식감 유사",0.9,1.0,세세분류,"Feature유사도: 0.90 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.96 | 공통특성: 가열용, 감칠맛, 담백함, 생선류, 수산물, 흰살생선 | 분류일치: 세세분류: 생선류"
48,네동가리,도다리,네동가리→도다리,0.96,"향 유사, 식감 유사",0.9,1.0,세세분류,"Feature유사도: 0.90 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.96 | 공통특성: 가열용, 감칠맛, 담백함, 생선류, 수산물, 흰살생선 | 분류일치: 세세분류: 생선류"
49,문치가자미,술봉가자미,문치가자미→술봉가자미,0.96,"향 유사, 식감 유사",0.9,1.0,세세분류,"Feature유사도: 0.90 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.96 | 공통특성: 가열용, 감칠맛, 담백함, 생선류, 수산물, 흰살생선 | 분류일치: 세세분류: 생선류"
50,술봉가자미,문치가자미,술봉가자미→문치가자미,0.96,"향 유사, 식감 유사",0.9,1.0,세세분류,"Feature유사도: 0.90 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.96 | 공통특성: 가열용, 감칠맛, 담백함, 생선류, 수산물, 흰살생선 | 분류일치: 세세분류: 생선류"
