ingredient_keyword,coupang_url,priority,active,recipe_count,rank
집된장,,D,Y,276,171
청경채,https://link.coupang.com/a/gSMRSbO4zc,D,Y,276,172
바질,https://link.coupang.com/a/gSMQxnfLYi,C,Y,274,173
대추,https://link.coupang.com/a/gSMSfJraG4,D,Y,273,174
생강청,https://link.coupang.com/a/gSMQdvo8u4,D,Y,269,175
요거트,https://link.coupang.com/a/gSMMZNsJAO,B,Y,266,176
다시마육수,,D,Y,264,177
고추기름,https://link.coupang.com/a/gSMSAUkqke,D,Y,261,178
미원,https://link.coupang.com/a/gSMTqCm77Q,D,Y,261,179
건새우,https://link.coupang.com/a/gSMTz6vZDw,D,Y,258,180
아몬드,https://link.coupang.com/a/gSMNia8cPQ,C,Y,255,181
진미채,https://link.coupang.com/a/gSMRsioyaq,D,Y,254,182
슬라이스햄,https://link.coupang.com/a/gSMVMEuUqO,D,Y,250,183
딸기쨈,https://link.coupang.com/a/gSMVo6wJ76,D,Y,248,184
양지,https://link.coupang.com/a/gSMWm4tnMW,D,Y,246,185
지리멸치,https://link.coupang.com/a/gSMU0w8cZE,D,Y,245,186
쌈장,https://link.coupang.com/a/gSMRf2Sq8y,C,Y,243,187
루꼴라,https://link.coupang.com/a/gSMUlWMcTI,C,Y,241,188
목살,https://link.coupang.com/a/gSMLskL54u,B,Y,238,189
이스트,,D,Y,237,190
검정깨,https://link.coupang.com/a/gSMTgWjctM,D,Y,235,191
떡볶이떡,https://link.coupang.com/a/gSMW8HU2eq,D,Y,233,192
등갈비,https://link.coupang.com/a/gSMXh25TUW,D,Y,225,193
라면,https://link.coupang.com/a/gSMTYyVIRg,C,Y,223,194
양송이버섯,https://link.coupang.com/a/gSMTNdPjFs,D,Y,223,195
강력분,,D,Y,222,196
딸기,https://link.coupang.com/a/gSMQHxYsZE,C,Y,222,197
만두,https://link.coupang.com/a/gSNew0n0Bo,B,Y,217,198
소갈비,https://link.coupang.com/a/gSMYaLHCx2,B,Y,217,199
노추,,D,Y,216,200
전복,https://link.coupang.com/a/gSMV1FfBWm,A,Y,216,201
생강술,https://link.coupang.com/a/gSMXqg6BB6,D,Y,215,202
도토리묵,https://link.coupang.com/a/gSMWQi7as8,D,Y,210,203
아보카도오일,https://link.coupang.com/a/gSMWxmEcy4,D,Y,206,204
고사리,https://link.coupang.com/a/gSMUQ4mJau,D,Y,203,205
블루베리,https://link.coupang.com/a/gSMS4h1qLc,D,Y,203,206
돈가스소스,https://link.coupang.com/a/gSMWZSG1pQ,D,Y,200,207
연유,https://link.coupang.com/a/gSMWFWep88,D,Y,198,208
열무,https://link.coupang.com/a/gSMXHdmqSO,C,Y,194,209
차돌박이,https://link.coupang.com/a/gSMUb9kHRY,D,Y,194,210
버섯,https://link.coupang.com/a/gSMLQiKb0e,A,Y,190,211
명란,https://link.coupang.com/a/gSMSq8tgpE,D,Y,183,212
올리브,https://link.coupang.com/a/gSMWdeIoqy,A,Y,183,213
우삼겹,https://link.coupang.com/a/gSMVAb1dam,D,Y,183,214
숙주나물,https://link.coupang.com/a/gSLpk38SxU,C,Y,170,215
연두,https://link.coupang.com/a/gSMXyXzz2a,D,Y,169,216
호두,https://link.coupang.com/a/gSMUGyXVCe,D,Y,167,217
